COD,REACCIONES,COMBUSTIBLE,ESTADO,FECHA_REGISTRO,ANIO_REGISTRO,CLASE,DEPARTAMENTO,COMENTARIOS_DESCRIPTIVOS_DE_USUARIOS
1,23,ELECTRICO,ACTIVO,28/09/2015,2015,MOTOCICLETA,Caqueta,Las baterías tienen un impacto ambiental significativo en su producción.
2,45,ELECTRICO,ACTIVO,25/10/2021,2021,CAMIONETA,Cundinamarca,La infraestructura de carga es insuficiente en muchas áreas.
3,1498,ELECTRICO,ACTIVO,31/10/2019,2019,AUTOMOVIL,Bogota D.C.,Los costos iniciales son más altos que los de coches de gasolina.
4,232,ELECTRICO,ACTIVO,27/08/2021,2021,AUTOMOVIL,Antioquia,La ansiedad por la autonomía es un problema común.
5,76,ELECTRICO,ACTIVO,10/06/2020,2020,CAMIONETA,Antioquia,Las baterías pueden ser caras de reemplazar.
6,87,ELECTRICO,ACTIVO,14/03/2014,2014,MOTOCICLETA,Bogota D.C.,Los vehículos eléctricos son una excelente opción para reducir la contaminación.
7,90,ELECTRICO,ACTIVO,11/06/2021,2021,MOTOTRICICLO,Cundinamarca,"No emiten gases nocivos, lo que es mejor para el medio ambiente."
8,554,ELECTRICO,ACTIVO,22/12/2021,2021,CAMIONETA,Bogota D.C.,Son más silenciosos que los coches de gasolina.
9,455,ELECTRICO,ACTIVO,23/06/2021,2021,AUTOMOVIL,Antioquia,Requieren menos mantenimiento.
10,332,ELECTRICO,ACTIVO,14/03/2022,2022,BUS,Bogota D.C.,Los costos de operación son más bajos a largo plazo.
11,12,ELECTRICO,ACTIVO,23/12/2016,2016,AUTOMOVIL,Antioquia,Son más eficientes energéticamente.
12,23,ELECTRICO,ACTIVO,18/03/2021,2021,AUTOMOVIL,Norte de Santander,"Los vehículos eléctricos son una opción interesante, pero aún en desarrollo."
13,544,ELECTRICO,ACTIVO,17/09/2021,2021,AUTOMOVIL,Antioquia,"La tecnología está mejorando rápidamente, lo que podría resolver muchos problemas actuales."
14,900,ELECTRICO,ACTIVO,15/03/2022,2022,AUTOMOVIL,Cundinamarca,"Son una buena opción para ciertas personas, pero no para todos."
15,578,ELECTRICO,ACTIVO,10/11/2016,2016,MOTOCARRO,Cundinamarca,La decisión de comprar un vehículo eléctrico depende de las necesidades individuales.
16,678,ELECTRICO,ACTIVO,11/10/2016,2016,MOTOCARRO,Cundinamarca,La adopción de vehículos eléctricos varía mucho según la región.
17,544,ELECTRICO,ACTIVO,22/01/2013,2013,MOTOCICLETA,Antioquia,La inversión en infraestructura es crucial para su éxito.
18,435,ELECTRICO,ACTIVO,05/09/2018,2018,CUADRICICLO,Bogota D.C.,La elección entre vehículos eléctricos y de gasolina depende de factores personales y económicos.
19,435,ELECTRICO,ACTIVO,29/10/2021,2021,CUADRICICLO,Bogota D.C.,La transición a vehículos eléctricos puede ser gradual y no inmediata.
20,1264,ELECTRICO,ACTIVO,10/03/2022,2022,CAMIONETA,Bogota D.C.,La tecnología de baterías necesita más innovación para ser completamente viable.
21,504,ELECTRICO,ACTIVO,14/01/2020,2020,CUADRICICLO,Bogota D.C.,"Los vehículos eléctricos tienen potencial, pero aún enfrentan desafíos."
22,1366,ELECTRICO,ACTIVO,30/05/2019,2019,CUADRICICLO,Antioquia,Pueden proporcionar electricidad a la casa en caso de emergencia.
23,78,ELECTRICO,ACTIVO,12/03/2022,2022,BUS,Bogota D.C.,Los créditos fiscales y reembolsos hacen que sean más accesibles.
24,1294,ELECTRICO,ACTIVO,10/12/2019,2019,AUTOMOVIL,Bogota D.C.,Son más cómodos de conducir en ciudad.
25,945,ELECTRICO,ACTIVO,31/01/2019,2019,AUTOMOVIL,Bogota D.C.,Ayudan a reducir la dependencia de combustibles fósiles
26,319,ELECTRICO,ACTIVO,21/05/2021,2021,MOTOCICLETA,Atlantico,La carga puede ser lenta en comparación con el llenado de gasolina.
27,1542,ELECTRICO,ACTIVO,3/12/2020,2020,CAMIONETA,Quindio,La electricidad utilizada para cargarlos puede provenir de combustibles fósiles.
28,1445,ELECTRICO,ACTIVO,12/07/2021,2021,AUTOMOVIL,Bogota D.C.,Pueden tener un alcance limitado antes de necesitar recarga.
29,1463,ELECTRICO,ACTIVO,3/10/2018,2018,CAMIONETA,Antioquia,La disponibilidad de estaciones de carga es limitada en algunas regiones.
30,143,ELECTRICO,ACTIVO,16/03/2022,2022,BUS,Bogota D.C.,La producción de vehículos eléctricos puede afectar empleos en la industria automovilística tradicional.
31,153,ELECTRICO,ACTIVO,20/09/2019,2019,AUTOMOVIL,Antioquia,Los vehículos eléctricos son una excelente opción para reducir la contaminación.
32,170,ELECTRICO,ACTIVO,04/03/2021,2021,AUTOMOVIL,Bogota D.C.,"No emiten gases nocivos, lo que es mejor para el medio ambiente."
33,448,ELECTRICO,ACTIVO,27/12/2018,2018,AUTOMOVIL,Antioquia,Son más silenciosos que los coches de gasolina.
34,1396,ELECTRICO,ACTIVO,16/03/2012,2012,MOTOCICLETA,Santander,Requieren menos mantenimiento.
35,1034,ELECTRICO,ACTIVO,26/12/2019,2019,AUTOMOVIL,Bogota D.C.,Los costos de operación son más bajos a largo plazo.
36,551,ELECTRICO,ACTIVO,15/02/2018,2018,CUADRICICLO,Valle del Cauca,Son más eficientes energéticamente.
37,1092,ELECTRICO,ACTIVO,10/12/2020,2020,CAMION,Antioquia,Pueden proporcionar electricidad a la casa en caso de emergencia.
38,1633,ELECTRICO,ACTIVO,06/08/2015,2015,CAMIONETA,Valle del Cauca,Los créditos fiscales y reembolsos hacen que sean más accesibles.
39,1232,ELECTRICO,ACTIVO,28/08/2021,2021,AUTOMOVIL,Bogota D.C.,Son más cómodos de conducir en ciudad.
40,1685,ELECTRICO,ACTIVO,14/07/2014,2014,MOTOCICLETA,Antioquia,Ayudan a reducir la dependencia de combustibles fósiles.
41,713,ELECTRICO,ACTIVO,30/08/2013,2013,MOTOCICLETA,Antioquia,Los avances en tecnología están haciendo que las baterías duren más.
42,1442,ELECTRICO,ACTIVO,19/12/2019,2019,CAMION,Antioquia,La experiencia de conducción es muy suave y agradable.
43,729,ELECTRICO,ACTIVO,13/05/2021,2021,CUADRICICLO,Bogota D.C.,Las aceleraciones son rápidas y potentes.
44,338,ELECTRICO,ACTIVO,21/07/2021,2021,AUTOMOVIL,Bolivar,Existe una gran variedad de modelos para elegir.
45,1663,ELECTRICO,ACTIVO,26/01/2022,2022,BUS,Bogota D.C.,Contribuyen a la innovación en la industria automovilística.
46,74,ELECTRICO,ACTIVO,15/02/2012,2012,MOTOCICLETA,Antioquia,Las empresas están invirtiendo más en infraestructura de carga.
47,1447,ELECTRICO,ACTIVO,07/07/2014,2014,MOTOCICLETA,Bogota D.C.,Es posible cargar el coche en casa durante la noche.
48,1306,ELECTRICO,ACTIVO,3/11/2017,2017,AUTOMOVIL,Antioquia,Las ciudades están apoyando la adopción de vehículos eléctricos.
49,1629,ELECTRICO,ACTIVO,27/08/2013,2013,MOTOCICLETA,Antioquia,Los vehículos eléctricos son una tendencia creciente.
50,812,ELECTRICO,ACTIVO,28/02/2019,2019,CAMIONETA,Antioquia,Tienen un diseño moderno y atractivo.
51,1188,ELECTRICO,ACTIVO,24/08/2015,2015,MOTOCICLETA,Huila,Ayudan a reducir el ruido en las ciudades.
52,532,ELECTRICO,ACTIVO,15/01/2022,2022,CAMIONETA,Bogota D.C.,Son ideales para trayectos cortos y uso urbano.
53,1516,ELECTRICO,ACTIVO,26/04/2019,2019,AUTOMOVIL,Bogota D.C.,Las compañías eléctricas ofrecen tarifas especiales para la carga de coches eléctricos.
54,618,ELECTRICO,ACTIVO,29/12/2016,2016,AUTOMOVIL,Bogota D.C.,La autonomía de los vehículos eléctricos está mejorando.
55,863,ELECTRICO,ACTIVO,18/02/2020,2020,CAMIONETA,Antioquia,"Los vehículos eléctricos tienen menos piezas móviles, lo que reduce las posibilidades de averías."
56,1273,ELECTRICO,ACTIVO,30/03/2022,2022,AUTOMOVIL,Cundinamarca,Contribuyen a la sostenibilidad y al futuro del planeta.
57,1498,ELECTRICO,ACTIVO,12/05/2021,2021,CUADRICICLO,Antioquia,Las políticas gubernamentales están incentivando su uso.
58,41,ELECTRICO,ACTIVO,11/09/2015,2015,AUTOMOVIL,Bolivar,Las estaciones de carga rápida están aumentando.
59,358,ELECTRICO,ACTIVO,29/04/2010,2010,CAMIONETA,Valle del Cauca,Facilitan el uso de energía renovable.
60,841,ELECTRICO,ACTIVO,04/03/2020,2020,AUTOMOVIL,Bogota D.C.,Los nuevos modelos tienen tecnologías avanzadas.
61,1179,ELECTRICO,ACTIVO,31/05/2021,2021,CUADRICICLO,Bogota D.C.,Reducen la huella de carbono.
62,896,ELECTRICO,ACTIVO,10/11/2020,2020,BUS,Bogota D.C.,Son una alternativa viable a los vehículos tradicionales.
63,134,ELECTRICO,ACTIVO,13/11/2014,2014,MOTOCICLETA,Antioquia,Ayudan a combatir el cambio climático.
64,592,ELECTRICO,ACTIVO,9/11/2018,2018,AUTOMOVIL,Antioquia,Los coches eléctricos de lujo ofrecen experiencias exclusivas.
65,675,ELECTRICO,ACTIVO,15/07/2020,2020,CUADRICICLO,Bogota D.C.,Fomentan la adopción de tecnologías limpias.
66,843,ELECTRICO,ACTIVO,27/01/2022,2022,AUTOMOVIL,Bogota D.C.,La comunidad de usuarios de vehículos eléctricos es muy activa.
67,654,ELECTRICO,ACTIVO,14/11/2020,2020,BUS,Bogota D.C.,Permiten ahorros en impuestos y peajes en algunas zonas.
68,1334,ELECTRICO,ACTIVO,15/03/2022,2022,BUS,Bogota D.C.,Muchas empresas ofrecen beneficios a empleados que usan vehículos eléctricos.
69,1186,ELECTRICO,ACTIVO,26/01/2021,2021,CAMIONETA,Antioquia,La segunda mano de vehículos eléctricos está creciendo.
70,371,ELECTRICO,ACTIVO,14/05/2020,2020,AUTOMOVIL,Antioquia,Los planes de leasing para vehículos eléctricos son accesibles.
71,1402,ELECTRICO,ACTIVO,26/08/2020,2020,AUTOMOVIL,Bogota D.C.,Se están desarrollando baterías reciclables y más ecológicas.
72,897,ELECTRICO,ACTIVO,24/04/2017,2017,MOTOCICLETA,Antioquia,Los vehículos eléctricos suelen tener un diseño aerodinámico.
73,1319,ELECTRICO,ACTIVO,26/10/2020,2020,AUTOMOVIL,Bogota D.C.,Son ideales para conductores concienciados con el medio ambiente.
74,803,ELECTRICO,ACTIVO,16/06/2015,2015,MOTOCICLETA,Santander,Las ciudades inteligentes están integrando mejor los vehículos eléctricos.
75,1367,ELECTRICO,ACTIVO,22/12/2012,2012,AUTOMOVIL,Valle del Cauca,Tienen una vida útil mayor que los vehículos de combustión.
76,221,ELECTRICO,ACTIVO,25/11/2021,2021,CAMION,Antioquia,Los vehículos eléctricos pueden participar en programas de respuesta a la demanda energética.
